date,sleep_hours,study_hours,workout_done,calories,screen_time,productivity
2026-04-01,7.5,4,1,2200,3.5,7
2026-04-02,6.0,3,0,2500,5.0,5
2026-04-03,8.0,5,1,2100,3.0,8
2026-04-04,5.5,2,0,2700,6.0,4
2026-04-05,7.0,4,1,2300,4.0,7
2026-04-06,6.5,3,0,2600,5.5,5
2026-04-07,8.5,6,1,2000,2.5,9
2026-04-08,7.8,5,1,2100,3.2,8
2026-04-09,5.0,2,0,2800,6.5,3
2026-04-10,6.8,3,0,2550,5.2,5
2026-04-11,7.2,4,1,2250,3.8,7
2026-04-12,8.1,6,1,2050,2.9,9
2026-04-13,6.0,3,0,2600,5.8,5
2026-04-14,7.5,5,1,2200,3.5,8
2026-04-15,2.0,0,0,4200,12.0,1
2026-04-16,12.5,10,1,1500,0.5,10
2026-04-17,4.0,1,0,3900,11.5,2
2026-04-18,9.5,8,1,1800,1.5,10
2026-04-19,3.5,0,0,4500,13.0,1
2026-04-20,10.0,9,1,1700,1.0,10
